"Subject_ID" "Activity_Name" "tBodyAcc.mean_.X" "tBodyAcc.mean_.Y" "tBodyAcc.mean_.Z" "tGravityAcc.mean_.X" "tGravityAcc.mean_.Y" "tGravityAcc.mean_.Z" "tBodyAccJerk.mean_.X" "tBodyAccJerk.mean_.Y" "tBodyAccJerk.mean_.Z" "tBodyGyro.mean_.X" "tBodyGyro.mean_.Y" "tBodyGyro.mean_.Z" "tBodyGyroJerk.mean_.X" "tBodyGyroJerk.mean_.Y" "tBodyGyroJerk.mean_.Z" "tBodyAccMag.mean_" "tGravityAccMag.mean_" "tBodyAccJerkMag.mean_" "tBodyGyroMag.mean_" "tBodyGyroJerkMag.mean_" "fBodyAcc.mean_.X" "fBodyAcc.mean_.Y" "fBodyAcc.mean_.Z" "fBodyAccJerk.mean_.X" "fBodyAccJerk.mean_.Y" "fBodyAccJerk.mean_.Z" "fBodyGyro.mean_.X" "fBodyGyro.mean_.Y" "fBodyGyro.mean_.Z" "fBodyAccMag.mean_" "fBodyBodyAccJerkMag.mean_" "fBodyBodyGyroMag.mean_" "fBodyBodyGyroJerkMag.mean_" "tBodyAcc.std_.X" "tBodyAcc.std_.Y" "tBodyAcc.std_.Z" "tGravityAcc.std_.X" "tGravityAcc.std_.Y" "tGravityAcc.std_.Z" "tBodyAccJerk.std_.X" "tBodyAccJerk.std_.Y" "tBodyAccJerk.std_.Z" "tBodyGyro.std_.X" "tBodyGyro.std_.Y" "tBodyGyro.std_.Z" "tBodyGyroJerk.std_.X" "tBodyGyroJerk.std_.Y" "tBodyGyroJerk.std_.Z" "tBodyAccMag.std_" "tGravityAccMag.std_" "tBodyAccJerkMag.std_" "tBodyGyroMag.std_" "tBodyGyroJerkMag.std_" "fBodyAcc.std_.X" "fBodyAcc.std_.Y" "fBodyAcc.std_.Z" "fBodyAccJerk.std_.X" "fBodyAccJerk.std_.Y" "fBodyAccJerk.std_.Z" "fBodyGyro.std_.X" "fBodyGyro.std_.Y" "fBodyGyro.std_.Z" "fBodyAccMag.std_" "fBodyBodyAccJerkMag.std_" "fBodyBodyGyroMag.std_" "fBodyBodyGyroJerkMag.std_"
1 "LAYING" 0.22161 -0.04050126 -0.113142 -0.2489 0.70554 0.44582 0.081098 0.00383436 0.01084116 -0.0165536 -0.0644664 0.148698 -0.1072922 -0.0415226 -0.074056 -0.841908 -0.841908 -0.9544 -0.87474 -0.96348 -0.93918 -0.86706 -0.88264 -0.9571 -0.92242 -0.94804 -0.8502584 -0.95214 -0.90932 -0.861736 -0.93332 -0.8622 -0.9424 -0.928 -0.83686 -0.8260136 -0.89682 -0.90767 -0.852376 -0.9585 -0.92416 -0.9549 -0.873506 -0.95108 -0.9082 -0.91862 -0.9679 -0.9578 -0.79514 -0.79514 -0.9283 -0.819008 -0.93586 -0.9245 -0.833648 -0.812832 -0.9642 -0.93222 -0.96062 -0.8823 -0.9512 -0.91662 -0.798348 -0.92178 -0.824388 -0.93264
1 "SITTING" 0.261302127659575 -0.00131929787234043 -0.104589361702128 0.831553191489362 0.204463829787234 0.332021276595745 0.0774702127659574 -0.000632978723404255 -0.00334040425531915 -0.0453451063829787 -0.0919404255319149 0.0629255319148936 -0.0936744680851064 -0.0402063829787234 -0.046711914893617 -0.948553191489362 -0.948553191489362 -0.98731914893617 -0.930893617021277 -0.991936170212766 -0.979595744680851 -0.944148936170213 -0.959191489361702 -0.98663829787234 -0.98168085106383 -0.986042553191489 -0.976191489361702 -0.975808510638298 -0.951340425531915 -0.947829787234043 -0.98531914893617 -0.958468085106383 -0.989851063829787 -0.977255319148936 -0.922702127659574 -0.939510638297872 -0.968446808510638 -0.935468085106383 -0.949 -0.986425531914894 -0.98136170212766 -0.987872340425532 -0.977170212765957 -0.966489361702128 -0.941489361702128 -0.991702127659574 -0.989553191489362 -0.987914893617021 -0.927106382978723 -0.927106382978723 -0.984127659574468 -0.934553191489362 -0.988255319148936 -0.97636170212766 -0.917276595744681 -0.934531914893617 -0.987446808510638 -0.982531914893617 -0.98836170212766 -0.977936170212766 -0.96236170212766 -0.943936170212766 -0.928446808510638 -0.981617021276596 -0.932234042553191 -0.987021276595745
1 "STANDING" 0.278924528301887 -0.0161379245283019 -0.110537735849057 0.942962264150943 -0.272924528301887 0.0134781132075472 0.0753792452830189 0.00797905660377358 -0.00368366037735849 -0.0239875094339623 -0.0593981132075472 0.0748207547169811 -0.0995811320754717 -0.0440584905660377 -0.0489462264150943 -0.984339622641509 -0.984339622641509 -0.992301886792453 -0.976452830188679 -0.994943396226415 -0.995264150943396 -0.977056603773585 -0.985358490566038 -0.994679245283019 -0.985396226415094 -0.990754716981132 -0.986339622641509 -0.988962264150943 -0.980735849056604 -0.985396226415094 -0.992490566037736 -0.984547169811321 -0.994830188679245 -0.995754716981132 -0.973207547169811 -0.979754716981132 -0.993679245283019 -0.98122641509434 -0.976320754716981 -0.994566037735849 -0.985660377358491 -0.992283018867924 -0.98722641509434 -0.987735849056604 -0.980679245283019 -0.992962264150943 -0.995169811320755 -0.992094339622641 -0.982018867924528 -0.982018867924528 -0.993056603773585 -0.978622641509434 -0.994792452830189 -0.995924528301887 -0.972264150943396 -0.977962264150943 -0.995018867924528 -0.986905660377358 -0.992320754716981 -0.987509433962264 -0.987094339622641 -0.982358490566038 -0.982339622641509 -0.992584905660377 -0.978471698113208 -0.994660377358491
1 "WALKING" 0.277347368421053 -0.0173852526315789 -0.111134736842105 0.935189473684211 -0.282105263157895 -0.06812 0.0740662105263158 0.0282884210526316 -0.00411536842105263 -0.0418129052631579 -0.0695196842105263 0.0849481052631579 -0.0899709473684211 -0.0398431578947368 -0.0461752631578947 -0.136956736842105 -0.136956736842105 -0.141447368421053 -0.160994736842105 -0.298683157894737 -0.202763157894737 0.0897069473684211 -0.331547368421053 -0.170527336842105 -0.0352243284210526 -0.469031578947368 -0.339038947368421 -0.103032947368421 -0.255976842105263 -0.128630842105263 -0.0571388105263158 -0.199222315789474 -0.31928 -0.283747368421053 0.114435473684211 -0.260031578947368 -0.976589473684211 -0.971273684210526 -0.947726315789474 -0.113594 0.0669969473684211 -0.502726315789474 -0.473515789473684 -0.0546289789473684 -0.344252631578947 -0.207382105263158 -0.304452631578947 -0.404242105263158 -0.219686315789474 -0.219686315789474 -0.0744989263157895 -0.186945263157895 -0.325372631578947 -0.319136842105263 0.0560300315789474 -0.279688421052632 -0.133578947368421 0.106751052631579 -0.534694736842105 -0.516694736842105 -0.0335391578947368 -0.436589473684211 -0.398 -0.103472947368421 -0.321021052631579 -0.381631578947368
1 "WALKING_DOWNSTAIRS" 0.289163265306122 -0.00991983673469388 -0.10749387755102 0.931857142857143 -0.266612244897959 -0.0621061224489796 0.0541714285714286 0.0296714285714286 -0.0109659183673469 -0.0350335102040816 -0.0909408163265306 0.0900484897959184 -0.0739921020408163 -0.0439848979591837 -0.0270542857142857 0.0271850816326531 0.0271850816326531 -0.0894238775510204 -0.075745306122449 -0.295540816326531 0.0382116326530612 0.00152348979591837 -0.225577551020408 -0.0276857142857143 -0.128661224489796 -0.288408163265306 -0.352421632653061 -0.0556714285714286 -0.0318797959183673 0.0965979591836735 0.026264693877551 -0.18569612244898 -0.281960612244898 0.0300588632653061 -0.0319091836734694 -0.230459183673469 -0.950673469387755 -0.937 -0.895938775510204 -0.0122773469387755 -0.10161612244898 -0.345704081632653 -0.4581 -0.126321632653061 -0.124677551020408 -0.486959183673469 -0.238830612244898 -0.268721632653061 0.0198661224489796 0.0198661224489796 -0.0257514285714286 -0.225712244897959 -0.306522448979592 0.0243173469387755 -0.112939591836735 -0.297897959183673 -0.0863175714285714 -0.134527959183673 -0.401714285714286 -0.495422448979592 -0.181467755102041 -0.23845306122449 -0.186573469387755 -0.103971224489796 -0.39829387755102 -0.391965306122449
1 "WALKING_UPSTAIRS" 0.255433962264151 -0.0239588867924528 -0.0973716981132075 0.893396226415094 -0.36211320754717 -0.0753830188679245 0.101424905660377 0.0194288679245283 -0.0455284905660377 0.0505528301886792 -0.166191509433962 0.0583298113207547 -0.122262264150943 -0.0421547169811321 -0.0406995660377358 -0.129994339622642 -0.129994339622642 -0.466490566037736 -0.126791509433962 -0.594905660377358 -0.404339622641509 -0.190981698113208 -0.433358490566038 -0.479943396226415 -0.413490566037736 -0.685452830188679 -0.492566037735849 -0.319452830188679 -0.453603773584906 -0.352490566037736 -0.442698113207547 -0.325992452830189 -0.634641509433962 -0.354716981132075 -0.00230547169811321 -0.0194990566037736 -0.956301886792453 -0.95288679245283 -0.912358490566038 -0.446905660377359 -0.378301886792453 -0.706622641509434 -0.544811320754717 0.00409377358490566 -0.507188679245283 -0.614792452830189 -0.601698113207547 -0.606358490566038 -0.325 -0.325 -0.479018867924528 -0.148654150943396 -0.648528301886792 -0.337490566037736 0.0217484905660377 0.0860209433962264 -0.461811320754717 -0.381698113207547 -0.726037735849057 -0.565867924528302 0.151559622641509 -0.571735849056604 -0.416264150943396 -0.533075471698113 -0.182975471698113 -0.693943396226415
2 "LAYING" 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.509754238125 0.752536639375 0.646834879583333 0.0825972511666667 0.012254788451875 -0.00180264895625 -0.01847660675 -0.111800824583333 0.144882846104167 -0.101974134208333 -0.0358590176083333 -0.0701783020833333 -0.977435485208333 -0.977435485208333 -0.987741696041667 -0.950011569583333 -0.991767074166667 -0.976725059791667 -0.979800877916667 -0.984380981875 -0.985813630833333 -0.982768250416667 -0.986197134583333 -0.9864311425 -0.983321635416667 -0.9626718875 -0.975110196458333 -0.985374114791667 -0.972112972708333 -0.990248702291667 -0.974059464791667 -0.98027739875 -0.984233296875 -0.959014441458333 -0.988211865208333 -0.984230418125 -0.98587216875 -0.98317254125 -0.988442014375 -0.988275232916667 -0.982291608958333 -0.960306560416667 -0.993235849166667 -0.989567537916667 -0.98803582125 -0.972873912916667 -0.972873912916667 -0.98551807625 -0.961164053958333 -0.989718095208333 -0.973246482083333 -0.981025105625 -0.984792185 -0.987250255833333 -0.984987392916667 -0.989345368541667 -0.988860685833333 -0.981910616458333 -0.963174222291667 -0.975121387916667 -0.984568489166667 -0.96109837875 -0.989492660416667
2 "SITTING" 0.27708735173913 -0.0156879937282609 -0.109218272456522 0.940477273043478 -0.105630024498783 0.19872676876087 0.0722564387173913 0.0116954511323913 0.00760546929869565 -0.0454706620434783 -0.0599286797043478 0.0412277462173913 -0.0936328412826087 -0.0415602029130435 -0.04358509665 -0.967893623913043 -0.967893623913043 -0.986774713043478 -0.946035087173913 -0.991081493913043 -0.985803840652174 -0.957343498478261 -0.970162172608696 -0.987848793695652 -0.977139702826087 -0.985129050217391 -0.982621389565217 -0.982100923695652 -0.959814822391304 -0.96127374826087 -0.983874698913043 -0.971840596086956 -0.989861950869565 -0.986822279565217 -0.950704499130435 -0.95982817173913 -0.979988760869565 -0.956750273043478 -0.954415873043478 -0.988055854130435 -0.977983955434783 -0.98751821173913 -0.985742027826087 -0.978919526956522 -0.959803708695652 -0.989709023043478 -0.990889614782609 -0.985542325652174 -0.953081444130435 -0.953081444130435 -0.984475868043478 -0.961313624130435 -0.989594919565217 -0.98736209 -0.950073754130435 -0.956862864130435 -0.989459107391304 -0.980804228478261 -0.988570804130435 -0.986808501521739 -0.977356188695652 -0.963522659782609 -0.955575602173913 -0.984124185869565 -0.961385745217391 -0.989632908913043
2 "STANDING" 0.277911472222222 -0.0184208270166667 -0.105908536055556 0.896928566851852 -0.370062696851852 0.129747161222222 0.0747588597592593 0.0103291774794444 -0.00837158846722222 -0.0238623875712963 -0.0820396577592593 0.0878351695481481 -0.105562157888889 -0.042241953537037 -0.0546539479425926 -0.965875181296296 -0.965875181296296 -0.980489077407407 -0.963466341851852 -0.983951904259259 -0.983946739814815 -0.959871697407407 -0.962471195740741 -0.980973241666667 -0.970851337962963 -0.979775152037037 -0.967037112037037 -0.972576152962963 -0.960627696111111 -0.964052166481482 -0.977065295555556 -0.961775904814815 -0.977849827407407 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.986685818703704 -0.97419442037037 -0.945927078703704 -0.981085715555556 -0.97105943962963 -0.982841446481482 -0.972998629814815 -0.971441996481481 -0.964856701851852 -0.979324000740741 -0.983447258518519 -0.973610118333333 -0.957874965 -0.957874965 -0.976675280185185 -0.95394338037037 -0.977204427777778 -0.989056469814815 -0.957908842222222 -0.946433583518518 -0.983007923703704 -0.973520241111111 -0.984599905185185 -0.97498812462963 -0.97103605037037 -0.969754295740741 -0.960519381481482 -0.97516046 -0.956788725740741 -0.977754298148148
2 "WALKING" 0.276426586440678 -0.0185949199145763 -0.105500357966102 0.91301733338983 -0.34660709 0.0847270871186441 0.0618080696279661 0.0182492679288136 0.00789533706610169 -0.0530258157347458 -0.0482382316949153 0.0828336633220339 -0.0818833429152542 -0.0538299449067797 -0.0514939156830508 -0.290407593728814 -0.290407593728814 -0.281424153881356 -0.446549092881356 -0.547911950338983 -0.346048161016949 -0.0219048103322034 -0.453806369830508 -0.304615322881356 -0.0787640836610169 -0.554956709661017 -0.429713536101695 -0.55477211220339 -0.396659907457627 -0.324289427932203 -0.169064352813559 -0.530704814745763 -0.583249293389831 -0.423642838474576 -0.0780912533118644 -0.425257524915254 -0.972693201355932 -0.972116879661017 -0.972072847627119 -0.277530462620339 -0.0166022362847458 -0.586090418983051 -0.561550255762712 -0.53845366779661 -0.481085535084746 -0.389549831525424 -0.634140436101695 -0.435492677288136 -0.422544169322034 -0.422544169322034 -0.164150985127119 -0.553019916271186 -0.557798151355932 -0.457651383728814 -0.16921968620339 -0.455222146440678 -0.31431306340678 -0.0153329520084746 -0.615898188474576 -0.604053019152542 -0.533046952542373 -0.559856635084746 -0.577105211694915 -0.164091969449153 -0.651792839661017 -0.558104554745763
